regulator_symbol,regulator_id,target_symbol,target_id,database,evidence,confidence
ATF3,467,OSM,5008,ucsc,Predicted,Low
ATF3,467,OR6X1,390260,ucsc,Predicted,Low
ATF3,467,OR1L8,138881,ucsc,Predicted,Low
ATF3,467,ONECUT2,9480,ucsc,Predicted,Low
ATF3,467,OMA1,115209,ucsc,Predicted,Low
ATF3,467,ODZ3,55714,ucsc,Predicted,Low
ATF3,467,NUDT3,11165,ucsc,Predicted,Low
ATF3,467,NUBPL,80224,ucsc,Predicted,Low
ATF3,467,NRIP3,56675,ucsc,Predicted,Low
ATF3,467,NR4A3,8013,ucsc,Predicted,Low
ATF3,467,NR4A2,4929,ucsc,Predicted,Low
ATF3,467,NR3C1,2908,ucsc,Predicted,Low
ATF3,467,NR2F1,7025,ucsc,Predicted,Low
ATF3,467,NPTX1,4884,ucsc,Predicted,Low
ATF3,467,NPPC,4880,ucsc,Predicted,Low
ATF3,467,NOVA1,4857,ucsc,Predicted,Low
ATF3,467,NOL4,8715,ucsc,Predicted,Low
ATF3,467,NFKBID,84807,ucsc,Predicted,Low
ATF3,467,NFKBIB,4793,ucsc,Predicted,Low
ATF3,467,NFKB1,4790,ucsc,Predicted,Low
ATF3,467,NFIL3,4783,ucsc,Predicted,Low
ATF3,467,NEUROD6,63974,ucsc,Predicted,Low
ATF3,467,NEO1,4756,ucsc,Predicted,Low
ATF3,467,NEK1,4750,ucsc,Predicted,Low
ATF3,467,NEFH,4744,ucsc,Predicted,Low
ATF3,467,NEDD1,121441,ucsc,Predicted,Low
ATF3,467,NDUFA13,51079,ucsc,Predicted,Low
ATF3,467,NDUFA10,4705,ucsc,Predicted,Low
ATF3,467,NDEL1,81565,ucsc,Predicted,Low
ATF3,467,NCALD,83988,ucsc,Predicted,Low
ATF3,467,NAV2,89797,ucsc,Predicted,Low
ATF3,467,MYNN,55892,ucsc,Predicted,Low
ATF3,467,MYEF2,50804,ucsc,Predicted,Low
ATF3,467,MYBL2,4605,ucsc,Predicted,Low
ATF3,467,MYADM,91663,ucsc,Predicted,Low
ATF3,467,MXD1,4084,ucsc,Predicted,Low
ATF3,467,MUC1,4582,ucsc,Predicted,Low
ATF3,467,MRVI1-AS1,100129827,ucsc,Predicted,Low
ATF3,467,MRRF,92399,ucsc,Predicted,Low
ATF3,467,MRPL54,116541,ucsc,Predicted,Low
ATF3,467,MPZL3,196264,ucsc,Predicted,Low
ATF3,467,MORF4L2,9643,ucsc,Predicted,Low
ATF3,467,MON2,23041,ucsc,Predicted,Low
ATF3,467,MOG,4340,ucsc,Predicted,Low
ATF3,467,MOCS1,4337,ucsc,Predicted,Low
ATF3,467,MLF2,8079,ucsc,Predicted,Low
ATF3,467,MKLN1,4289,ucsc,Predicted,Low
ATF3,467,MIR758,768212,ucsc,Predicted,Low
ATF3,467,MIR670,100313777,ucsc,Predicted,Low
ATF3,467,MIR497HG,100506755,ucsc,Predicted,Low
ATF3,467,MIR4738,100616282,ucsc,Predicted,Low
ATF3,467,MIR4733,100616266,ucsc,Predicted,Low
ATF3,467,MIR4692,100616410,ucsc,Predicted,Low
ATF3,467,MIR4687,100616453,ucsc,Predicted,Low
ATF3,467,MIR4646,100616230,ucsc,Predicted,Low
ATF3,467,MIR4444-1,100616394,ucsc,Predicted,Low
ATF3,467,MIR4310,100423013,ucsc,Predicted,Low
ATF3,467,MIR411,693121,ucsc,Predicted,Low
ATF3,467,MIR380,494329,ucsc,Predicted,Low
ATF3,467,MIR378D2,100616169,ucsc,Predicted,Low
ATF3,467,MIR3678,100500841,ucsc,Predicted,Low
ATF3,467,MIR3646,100500813,ucsc,Predicted,Low
ATF3,467,MIR329-2,574409,ucsc,Predicted,Low
ATF3,467,MIR329-1,574408,ucsc,Predicted,Low
ATF3,467,MIR323A,442897,ucsc,Predicted,Low
ATF3,467,MIR3175,100422995,ucsc,Predicted,Low
ATF3,467,MIR299,407023,ucsc,Predicted,Low
ATF3,467,HIVEP2,3097,ucsc,Predicted,Low
ATF3,467,MIR219-1,407002,ucsc,Predicted,Low
ATF3,467,MIR212,406994,ucsc,Predicted,Low
ATF3,467,MIR202,574448,ucsc,Predicted,Low
ATF3,467,MIR132,406921,ucsc,Predicted,Low
ATF3,467,MIR124-2,406908,ucsc,Predicted,Low
ATF3,467,MIR1204,100302185,ucsc,Predicted,Low
ATF3,467,MIR1197,100302250,ucsc,Predicted,Low
ATF3,467,MIER3,166968,ucsc,Predicted,Low
ATF3,467,MGA,23269,ucsc,Predicted,Low
ATF3,467,METTL4,64863,ucsc,Predicted,Low
ATF3,467,MESDC1,59274,ucsc,Predicted,Low
ATF3,467,MED31,51003,ucsc,Predicted,Low
ATF3,467,MDGA2,161357,ucsc,Predicted,Low
ATF3,467,MCAM,4162,ucsc,Predicted,Low
ATF3,467,MBNL1,4154,ucsc,Predicted,Low
ATF3,467,MAST1,22983,ucsc,Predicted,Low
ATF3,467,MARK4,57787,ucsc,Predicted,Low
ATF3,467,MAP4K5,11183,ucsc,Predicted,Low
ATF3,467,MAP3K13,9175,ucsc,Predicted,Low
ATF3,467,MAP2K1,5604,ucsc,Predicted,Low
ATF3,467,MAP1LC3A,84557,ucsc,Predicted,Low
ATF3,467,MAN1B1,11253,ucsc,Predicted,Low
ATF3,467,MAGI3,260425,ucsc,Predicted,Low
ATF3,467,MAFF,23764,ucsc,Predicted,Low
ATF3,467,LYN,4067,ucsc,Predicted,Low
ATF3,467,LY6G6D,58530,ucsc,Predicted,Low
ATF3,467,LTBP4,8425,ucsc,Predicted,Low
ATF3,467,LRRTM2,26045,ucsc,Predicted,Low
ATF3,467,LRRC8A,56262,ucsc,Predicted,Low
ATF3,467,LRRC73,221424,ucsc,Predicted,Low
ATF3,467,LRRC40,55631,ucsc,Predicted,Low
ATF3,467,LRP6,4040,ucsc,Predicted,Low
ATF3,467,LRP3,4037,ucsc,Predicted,Low
ATF3,467,LPP,4026,ucsc,Predicted,Low
ATF3,467,LOX,4015,ucsc,Predicted,Low
ATF3,467,LOC731223,731223,ucsc,Predicted,Low
ATF3,467,LOC642366,642366,ucsc,Predicted,Low
ATF3,467,LOC338758,338758,ucsc,Predicted,Low
ATF3,467,LOC338651,338651,ucsc,Predicted,Low
ATF3,467,LOC283335,283335,ucsc,Predicted,Low
ATF3,467,LOC100653515,100653515,ucsc,Predicted,Low
ATF3,467,LOC100507003,100507003,ucsc,Predicted,Low
ATF3,467,LOC100506713,100506713,ucsc,Predicted,Low
ATF3,467,LOC100506472,100506472,ucsc,Predicted,Low
ATF3,467,LOC100288524,100288524,ucsc,Predicted,Low
ATF3,467,LOC100133991,100133991,ucsc,Predicted,Low
ATF3,467,LOC100130855,100130855,ucsc,Predicted,Low
ATF3,467,LOC100130155,100130155,ucsc,Predicted,Low
