Gene ID,Gene Symbol,TF
ENSG00000021488.12,SLC7A9,MYBL2
ENSG00000021574.11,SPAST,MYBL2
ENSG00000021776.10,AQR,MYBL2
ENSG00000021826.14,CPS1,MYBL2
ENSG00000021852.12,C8B,MYBL2
ENSG00000022277.12,RTFDC1,MYBL2
ENSG00000022976.15,ZNF839,MYBL2
ENSG00000023041.11,ZDHHC6,MYBL2
ENSG00000023191.16,RNH1,MYBL2
ENSG00000023228.13,NDUFS1,MYBL2
ENSG00000023318.7,ERP44,MYBL2
ENSG00000023318.7,ERP44,MYBL2
ENSG00000023330.14,ALAS1,MYBL2
ENSG00000023445.13,BIRC3,MYBL2
ENSG00000023516.8,AKAP11,MYBL2
ENSG00000023572.8,GLRX2,MYBL2
ENSG00000023608.4,SNAPC1,MYBL2
ENSG00000023734.10,STRAP,MYBL2
ENSG00000023839.10,ABCC2,MYBL2
ENSG00000023892.10,DEF6,MYBL2
ENSG00000023909.9,GCLM,MYBL2
ENSG00000023909.9,GCLM,MYBL2
ENSG00000024048.10,UBR2,MYBL2
ENSG00000024526.16,DEPDC1,MYBL2
ENSG00000024862.17,CCDC28A,MYBL2
ENSG00000025156.12,HSF2,MYBL2
ENSG00000025293.16,PHF20,MYBL2
ENSG00000025423.11,HSD17B6,MYBL2
ENSG00000025434.18,NR1H3,MYBL2
ENSG00000025708.13,TYMP,MYBL2
ENSG00000025770.18,NCAPH2,MYBL2
ENSG00000025772.7,TOMM34,MYBL2
ENSG00000025796.13,SEC63,MYBL2
ENSG00000025800.13,KPNA6,MYBL2
ENSG00000026036.21,RTEL1-TNFRSF6B,MYBL2
ENSG00000026103.20,FAS,MYBL2
ENSG00000026297.15,RNASET2,MYBL2
ENSG00000027697.13,IFNGR1,MYBL2
ENSG00000027847.13,B4GALT7,MYBL2
ENSG00000028203.17,VEZT,MYBL2
ENSG00000028310.17,BRD9,MYBL2
ENSG00000028528.14,SNX1,MYBL2
ENSG00000028839.9,TBPL1,MYBL2
ENSG00000029363.15,BCLAF1,MYBL2
ENSG00000029364.11,SLC39A9,MYBL2
ENSG00000029639.10,TFB1M,MYBL2
ENSG00000030066.13,NUP160,MYBL2
ENSG00000030110.12,BAK1,MYBL2
ENSG00000030582.16,GRN,MYBL2
ENSG00000031691.6,CENPQ,MYBL2
ENSG00000031698.12,SARS,MYBL2
ENSG00000031823.14,RANBP3,MYBL2
ENSG00000032219.18,ARID4A,MYBL2
ENSG00000032389.12,TSSC1,MYBL2
ENSG00000032444.15,PNPLA6,MYBL2
ENSG00000032742.17,IFT88,MYBL2
ENSG00000033011.11,ALG1,MYBL2
ENSG00000033030.13,ZCCHC8,MYBL2
ENSG00000033050.7,ABCF2,MYBL2
ENSG00000033100.15,CHPF2,MYBL2
ENSG00000033178.12,UBA6,MYBL2
ENSG00000033327.12,GAB2,MYBL2
ENSG00000033627.15,ATP6V0A1,MYBL2
ENSG00000033800.13,PIAS1,MYBL2
ENSG00000033867.16,SLC4A7,MYBL2
ENSG00000034510.5,TMSB10,MYBL2
ENSG00000034693.14,PEX3,MYBL2
ENSG00000034713.7,GABARAPL2,MYBL2
